Hash,Message,Parent Hashes,Is Merge Commit,Modified Files
ebb9be584e22052f87704963d84e0141b0ac231e,sell_stoploss: rework.,['1fd4008b2df68e43063c13fd324faad963395428'],N,['NostalgiaForInfinityX.py']
411f51da1357e20fc54ee260cee50ff84106a465,- changed variable name,['ebb9be584e22052f87704963d84e0141b0ac231e'],N,['tools\\update_nfx.sh']
1519f06a778fc1ec5f2722960b240d3f23416c59,sell_stoploss: rework.,['d2096560979c7b7f7a9569b5cfc379fef613109e'],N,['NostalgiaForInfinityX.py']
3c7dd521ccb10917fecb6eb8bcdd8d0b9de2d93c,sell_stoploss: rework.,['a2dc57b245ba01da243347824989a8f17483a89c'],N,['NostalgiaForInfinityX.py']
bd82357d6891a923557c5654a014daf606844fbd,sell_stoploss: rework.,['55b7f33fe457117d315bf424c11e7a5eac2e92f0'],N,['NostalgiaForInfinityX.py']
71c33f0c57f6b8a43c48c2ed7c4cde42d64cd482,sell_stoploss: rework.,['fa72b9893a300cb117c0ccfac22b1e5cdd51ccf1'],N,['NostalgiaForInfinityX.py']
1a1f6bdb6618502510daa1f3d28da6bf4931d380,sell_stoploss: rework.,['0d047c09c62e75bf6808c364b7fe4f245e73bd3e'],N,['NostalgiaForInfinityX.py']
ff3edd7951c54f89db3fa028aeebb9a846cb12d1,sell_pump_stoploss: rework.,['4e28b5fca89fcd02aea499e0cbc9c79a8bf12f9b'],N,['NostalgiaForInfinityX.py']
9453d172b153e5d502ef9fbad70d425a5a17f998,sell_pump_stoploss: rework.,['579b0ff4abba8955bf148f3c7c471637b3fe6cc0'],N,['NostalgiaForInfinityX.py']
36e59c05ba3a1d0d06e1f0298412b828992810ff,sell_pump_stoploss: rework.,['58307c858c7864151c07cd56854836a438024770'],N,['NostalgiaForInfinityX.py']
580a0c24fc46d41cfa823ae0e8d49f804456b7b8,fix dd deviation for binance december,['96a0032922cf133225d98f82931df6bc5aba7a43'],N,['tests\\backtests\\test_winrate_and_drawdown.py']
4e031aade65997ccf043c4659ec297b122e347a5,sell_stoploss: rework.,['2c07d818c75b7c1b685fd32140dbe1eb9eb0db59'],N,['NostalgiaForInfinityX.py']
606ad400c2e52ae965a13b987af28ffeb351daf9,sell_stoploss: rework.,['bae562480069a868ab0a8af512949f1ee6a811e8'],N,['NostalgiaForInfinityX.py']
